"identifier","source_phrase","translation","context","labels","max_length"
"commands.admin.moverole.forbidden.title","Moving not possible","Moving not possible","Title of the reply embed for `/admin moverole` when the bot lacks Discord permissions (discord.Forbidden). Used in `commands/admin/moverole.py`.","commands,embed_title,error","256"
"commands.admin.moverole.missingPermission.description","You do not have the required permissions to move roles.","You do not have the required permissions to move roles.","Description body of the reply embed for `/admin moverole` when the user who ran the command lacks the required permission. Used in `commands/admin/moverole.py`.","commands,embed_description,warning","4096"
"commands.admin.moverole.missingPermission.title","Missing permission","Missing permission","Title of the reply embed for `/admin moverole` when the user who ran the command lacks the required permission. Used in `commands/admin/moverole.py`.","commands,embed_title,warning","256"
"commands.admin.moverole.missingPermissionBot.description","The bot does not have the required permissions to move roles.","The bot does not have the required permissions to move roles.","Description body of the reply embed for `/admin moverole` when the bot lacks the required permission in this server. Used in `commands/admin/moverole.py`.","commands,embed_description,warning","4096"
"commands.admin.moverole.missingPermissionBot.title","Bot has missing permission","Bot has missing permission","Title of the reply embed for `/admin moverole` when the bot lacks the required permission in this server. Used in `commands/admin/moverole.py`.","commands,embed_title,warning","256"
"commands.admin.moverole.roleTooHigh.description","You cannot move a role that is higher than or equal to your highest role.","You cannot move a role that is higher than or equal to your highest role.","Description body of the reply embed for `/admin moverole` when the target role is higher than the executor may manage. Used in `commands/admin/moverole.py`.","commands,embed_description","4096"
"commands.admin.moverole.roleTooHigh.title","Role too high","Role too high","Title of the reply embed for `/admin moverole` when the target role is higher than the executor may manage. Used in `commands/admin/moverole.py`.","commands,embed_title","256"
"commands.admin.moverole.success.description","The ${role} role was successfully moved ${position} the ${target_role} role.","The ${role} role was successfully moved ${position} the ${target_role} role.","Description body of the reply embed for `/admin moverole` when the command completed successfully. Used in `commands/admin/moverole.py`.","commands,embed_description,success","4096"
"commands.admin.moverole.success.title","Role moved","Role moved","Title of the reply embed for `/admin moverole` when the command completed successfully. Used in `commands/admin/moverole.py`.","commands,embed_title,success","256"
"commands.admin.nickname.changed.description","The nickname of ${user} has been changed from '${old_nick}' to '${new_nick}'.","The nickname of ${user} has been changed from '${old_nick}' to '${new_nick}'.","Description text for `/admin nickname` (changed) (response embed or command help). English: ""The nickname of ${user} has been changed from '${old_nick}' to '${new_nick}'."". Used in `commands/admin/nickname.py`.","description,commands","4096"
"commands.admin.nickname.changed.title","Nickname changed","Nickname changed","Title of a reply embed for `/admin nickname` (changed). Used in `commands/admin/nickname.py`.","commands,embed_title","256"
"commands.admin.nickname.error.description","An error occurred while trying to change the nickname.","An error occurred while trying to change the nickname.","Description body of the reply embed for `/admin nickname` when the command failed with a generic error. Used in `commands/admin/nickname.py`.","commands,embed_description,error","4096"
"commands.admin.nickname.error.title","Error during the change","Error during the change","Title of the reply embed for `/admin nickname` when the command failed with a generic error. Used in `commands/admin/nickname.py`.","commands,embed_title,error","256"
"commands.admin.nickname.forbidden.description","The bot could not change the nickname. The required authorizations may be missing.","The bot could not change the nickname. The required authorizations may be missing.","Description body of the reply embed for `/admin nickname` when the bot lacks Discord permissions (discord.Forbidden). Used in `commands/admin/nickname.py`.","commands,embed_description,error","4096"
"commands.admin.nickname.forbidden.title","Change not possible","Change not possible","Title of the reply embed for `/admin nickname` when the bot lacks Discord permissions (discord.Forbidden). Used in `commands/admin/nickname.py`.","commands,embed_title,error","256"
"commands.admin.nickname.missingPermission.description","You do not have the required permissions to change nicknames.","You do not have the required permissions to change nicknames.","Description body of the reply embed for `/admin nickname` when the user who ran the command lacks the required permission. Used in `commands/admin/nickname.py`.","commands,embed_description,warning","4096"
"commands.admin.nickname.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin nickname` when the user who ran the command lacks the required permission. Used in `commands/admin/nickname.py`.","commands,embed_title,warning","256"
"commands.admin.nickname.missingPermissionBot.description","The bot does not have the necessary permissions to change nicknames.","The bot does not have the necessary permissions to change nicknames.","Description body of the reply embed for `/admin nickname` when the bot lacks the required permission in this server. Used in `commands/admin/nickname.py`.","commands,embed_description,warning","4096"
"commands.admin.nickname.missingPermissionBot.title","Bot has missing authorization","Bot has missing authorization","Title of the reply embed for `/admin nickname` when the bot lacks the required permission in this server. Used in `commands/admin/nickname.py`.","commands,embed_title,warning","256"
"commands.admin.nickname.removed.description","The nickname '${old_nick}' of ${user} has been removed.","The nickname '${old_nick}' of ${user} has been removed.","Description body of the reply embed for `/admin nickname` when removal succeeded. Used in `commands/admin/nickname.py`.","commands,embed_description,success","4096"
"commands.admin.nickname.removed.title","Nickname removed","Nickname removed","Title of the reply embed for `/admin nickname` when removal succeeded. Used in `commands/admin/nickname.py`.","commands,embed_title,success","256"
"commands.admin.nickname.targetTooHigh.description","You cannot change the nickname of this member, as they have a higher or the same role as you.","You cannot change the nickname of this member, as they have a higher or the same role as you.","Description body of the reply embed for `/admin nickname` when the target member's highest role is above the executor's role. Used in `commands/admin/nickname.py`.","commands,embed_description","4096"
"commands.admin.nickname.targetTooHigh.title","Target has too high a role","Target has too high a role","Title of the reply embed for `/admin nickname` when the target member's highest role is above the executor's role. Used in `commands/admin/nickname.py`.","commands,embed_title","256"
"commands.admin.nuke.cancel","cancel","cancel","User-visible message for `/admin nuke` (cancel). English: ""cancel"". Used in `commands/admin/nuke.py`.","commands","80"
"commands.admin.nuke.cancelledMessage","Nuke process aborted.","Nuke process aborted.","User-visible message for `/admin nuke` (cancelled Message). English: ""Nuke process aborted."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.confirm","confirm","confirm","User-visible message for `/admin nuke` (confirm). English: ""confirm"". Used in `commands/admin/nuke.py`.","commands","80"
"commands.admin.nuke.confirmationDescription","Are you sure you want to delete all messages in ${channel}? This cannot be undone!","Are you sure you want to delete all messages in ${channel}? This cannot be undone!","User-visible message for `/admin nuke` (confirmation Description). English: ""Are you sure you want to delete all messages in ${channel}? This cannot be undone!"". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.confirmationPrompt","Please enter 'NUKE' to confirm.","Please enter 'NUKE' to confirm.","User-visible message for `/admin nuke` (confirmation Prompt). English: ""Please enter 'NUKE' to confirm."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.confirmationTitle","Channel Nuke confirmation","Channel Nuke confirmation","User-visible message for `/admin nuke` (confirmation Title). English: ""Channel Nuke confirmation"". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.confirmationWord","NUKE","NUKE","User-visible message for `/admin nuke` (confirmation Word). English: ""NUKE"". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.forbiddenError","The bot could not delete or recreate the channel. Please check the permissions.","The bot could not delete or recreate the channel. Please check the permissions.","User-visible message for `/admin nuke` (forbidden Error). English: ""The bot could not delete or recreate the channel. Please check the permissions."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.httpError","An error occurred when trying to delete or recreate the channel.","An error occurred when trying to delete or recreate the channel.","User-visible message for `/admin nuke` (http Error). English: ""An error occurred when trying to delete or recreate the channel."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.incorrectConfirmation","Incorrect confirmation. Nuke process canceled.","Incorrect confirmation. Nuke process canceled.","User-visible message for `/admin nuke` (incorrect Confirmation). English: ""Incorrect confirmation. Nuke process canceled."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.missingPermission.description","You do not have the necessary authorizations to delete and recreate a channel.","You do not have the necessary authorizations to delete and recreate a channel.","Description body of the reply embed for `/admin nuke` when the user who ran the command lacks the required permission. Used in `commands/admin/nuke.py`.","commands,embed_description,warning","4096"
"commands.admin.nuke.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin nuke` when the user who ran the command lacks the required permission. Used in `commands/admin/nuke.py`.","commands,embed_title,warning","256"
"commands.admin.nuke.missingPermissionBot.description","The bot does not have the necessary authorizations to delete and recreate a channel.","The bot does not have the necessary authorizations to delete and recreate a channel.","Description body of the reply embed for `/admin nuke` when the bot lacks the required permission in this server. Used in `commands/admin/nuke.py`.","commands,embed_description,warning","4096"
"commands.admin.nuke.missingPermissionBot.title","Bot has missing authorization","Bot has missing authorization","Title of the reply embed for `/admin nuke` when the bot lacks the required permission in this server. Used in `commands/admin/nuke.py`.","commands,embed_title,warning","256"
"commands.admin.nuke.notfound.description","The channel was not found. It may have already been deleted.","The channel was not found. It may have already been deleted.","Description body of the reply embed for `/admin nuke` when the resource was not found. Used in `commands/admin/nuke.py`.","commands,embed_description,error","4096"
"commands.admin.nuke.notfound.title","Channel not found","Channel not found","Title of the reply embed for `/admin nuke` when the resource was not found.","commands,embed_title,error","256"
"commands.admin.nuke.nukeReason","Channel successfully Nuked","Channel successfully Nuked","User-visible message for `/admin nuke` (nuke Reason). English: ""Channel successfully Nuked"". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.nukeSuccessMessage","This channel has been deleted and recreated by ${user}.","This channel has been deleted and recreated by ${user}.","User-visible message for `/admin nuke` (nuke Success Message). English: ""This channel has been deleted and recreated by ${user}."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.timeoutMessage","Time expired. Nuke process aborted.","Time expired. Nuke process aborted.","User-visible message for `/admin nuke` (timeout Message). English: ""Time expired. Nuke process aborted."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.nuke.unauthorizedUser","You are not authorized to interact with these buttons.","You are not authorized to interact with these buttons.","User-visible message for `/admin nuke` (unauthorized User). English: ""You are not authorized to interact with these buttons."". Used in `commands/admin/nuke.py`.","commands",""
"commands.admin.open_ticket.error.channelMissingPermission","The bot does not have the required permissions to create a ticket. The bot requires the 'Send messages' authorization.","The bot does not have the required permissions to create a ticket. The bot requires the 'Send messages' authorization.","User-visible message for `/admin open_ticket` (error) (channel Missing Permission). English: ""The bot does not have the required permissions to create a ticket. The bot requires the 'Send messages' authorization."".","commands",""
"commands.admin.open_ticket.error.success.ticketCreated","Ticket successfully created","Ticket successfully created","User-visible message for `/admin open_ticket` (error success) (ticket Created). English: ""Ticket successfully created"".","commands",""
"commands.admin.open_ticket.error.ticketCreated","Ticket successfully created","Ticket successfully created","User-visible message for `/admin open_ticket` (error) (ticket Created). English: ""Ticket successfully created"".","commands",""
"commands.admin.open_ticket.error.ticketNotCreated","The ticket could not be created.","The ticket could not be created.","User-visible message for `/admin open_ticket` (error) (ticket Not Created). English: ""The ticket could not be created."".","commands",""
"commands.admin.open_ticket.error.ticketNotFound","The ticket was not found. Unfortunately, the ticket cannot be opened.","The ticket was not found. Unfortunately, the ticket cannot be opened.","User-visible message for `/admin open_ticket` (error) (ticket Not Found). English: ""The ticket was not found. Unfortunately, the ticket cannot be opened."".","commands",""
"commands.admin.open_ticket.optedOutWarning.confirm","I agree","I agree","User-visible message for `/admin open_ticket` (opted Out Warning) (confirm). English: ""I agree"".","commands","80"
"commands.admin.open_ticket.optedOutWarning.decline","I do not agree","I do not agree","User-visible message for `/admin open_ticket` (opted Out Warning) (decline). English: ""I do not agree"".","commands","80"
"commands.admin.open_ticket.optedOutWarning.declined","As you do not want the bot to be able to read and process your messages, you cannot create the ticket.","As you do not want the bot to be able to read and process your messages, you cannot create the ticket.","User-visible message for `/admin open_ticket` (opted Out Warning) (declined). English: ""As you do not want the bot to be able to read and process your messages, you cannot create the ticket."".","commands",""
"commands.admin.open_ticket.optedOutWarning.description","Please note that you have deactivated message tracking. The bot will still read and process your messages in this ticket. When you create a ticket, you agree that the bot will read and process messages that you send in this ticket.","Please note that you have deactivated message tracking. The bot will still read and process your messages in this ticket. When you create a ticket, you agree that the bot will read and process messages that you send in this ticket.","Description body of the reply embed for `/admin open_ticket` (opted Out Warning).","commands,embed_description","4096"
"commands.admin.open_ticket.success.ticketCreated","Ticket successfully created","Ticket successfully created","User-visible message for `/admin open_ticket` (success) (ticket Created). English: ""Ticket successfully created"".","commands",""
"commands.admin.purge.error.description","An error occurred while trying to delete the messages.","An error occurred while trying to delete the messages.","Description body of the reply embed for `/admin purge` when the command failed with a generic error. Used in `commands/admin/purge.py`.","commands,embed_description,error","4096"
"commands.admin.purge.error.title","Error during deletion","Error during deletion","Title of the reply embed for `/admin purge` when the command failed with a generic error. Used in `commands/admin/purge.py`.","commands,embed_title,error","256"
"commands.admin.purge.forbidden.description","The bot could not delete the messages. The required authorizations may be missing.","The bot could not delete the messages. The required authorizations may be missing.","Description body of the reply embed for `/admin purge` when the bot lacks Discord permissions (discord.Forbidden). Used in `commands/admin/purge.py`.","commands,embed_description,error","4096"
"commands.admin.purge.forbidden.title","Deletion not possible","Deletion not possible","Title of the reply embed for `/admin purge` when the bot lacks Discord permissions (discord.Forbidden). Used in `commands/admin/purge.py`.","commands,embed_title,error","256"
"commands.admin.purge.invalidAmount.description","Please enter a positive number of messages to be deleted.","Please enter a positive number of messages to be deleted.","Description body of the reply embed for `/admin purge` when the amount is invalid. Used in `commands/admin/purge.py`.","commands,embed_description","4096"
"commands.admin.purge.invalidAmount.title","Invalid number","Invalid number","Title of the reply embed for `/admin purge` when the amount is invalid. Used in `commands/admin/purge.py`.","commands,embed_title","256"
"commands.admin.purge.missingPermission.description","You do not have the necessary permissions to delete messages.","You do not have the necessary permissions to delete messages.","Description body of the reply embed for `/admin purge` when the user who ran the command lacks the required permission.","commands,embed_description,warning","4096"
"commands.admin.purge.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin purge` when the user who ran the command lacks the required permission.","commands,embed_title,warning","256"
"commands.admin.purge.missingPermissionBot.description","The bot does not have the necessary permissions to delete messages in this channel.","The bot does not have the necessary permissions to delete messages in this channel.","Description body of the reply embed for `/admin purge` when the bot lacks the required permission in this server.","commands,embed_description,warning","4096"
"commands.admin.purge.missingPermissionBot.title","Bot has missing authorization","Bot has missing authorization","Title of the reply embed for `/admin purge` when the bot lacks the required permission in this server.","commands,embed_title,warning","256"
"commands.admin.purge.success.description","${amount} Messages have been successfully deleted in ${channel}.","${amount} Messages have been successfully deleted in ${channel}.","Description body of the reply embed for `/admin purge` when the command completed successfully. Used in `commands/admin/purge.py`.","commands,embed_description,success","4096"
"commands.admin.purge.success.title","Messages deleted","Messages deleted","Title of the reply embed for `/admin purge` when the command completed successfully. Used in `commands/admin/purge.py`.","commands,embed_title,success","256"
"commands.admin.remove_role.multipleSuccess.action","removed","removed","User-visible message for `/admin remove_role` (multiple Success) (action). English: ""removed"".","commands",""
"commands.admin.remove_timeout.error.description","An error occurred when trying to cancel the timeout.","An error occurred when trying to cancel the timeout.","Description body of the reply embed for `/admin remove_timeout` when the command failed with a generic error.","commands,embed_description,error","4096"
"commands.admin.remove_timeout.error.title","Error when canceling the timeout","Error when canceling the timeout","Title of the reply embed for `/admin remove_timeout` when the command failed with a generic error.","commands,embed_title,error","256"
"commands.admin.remove_timeout.forbidden.description","The bot could not cancel the timeout. The required authorizations may be missing.","The bot could not cancel the timeout. The required authorizations may be missing.","Description body of the reply embed for `/admin remove_timeout` when the bot lacks Discord permissions (discord.Forbidden).","commands,embed_description,error","4096"
"commands.admin.remove_timeout.forbidden.title","Timeout cancellation not possible","Timeout cancellation not possible","Title of the reply embed for `/admin remove_timeout` when the bot lacks Discord permissions (discord.Forbidden).","commands,embed_title,error","256"
"commands.admin.remove_timeout.missingPermission.description","You do not have the required permissions to remove timeouts.","You do not have the required permissions to remove timeouts.","Description body of the reply embed for `/admin remove_timeout` when the user who ran the command lacks the required permission.","commands,embed_description,warning","4096"
"commands.admin.remove_timeout.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin remove_timeout` when the user who ran the command lacks the required permission.","commands,embed_title,warning","256"
"commands.admin.remove_timeout.missingPermissionBot.description","The bot does not have the necessary authorizations to cancel timeouts.","The bot does not have the necessary authorizations to cancel timeouts.","Description body of the reply embed for `/admin remove_timeout` when the bot lacks the required permission in this server.","commands,embed_description,warning","4096"
"commands.admin.remove_timeout.missingPermissionBot.title","Bot has missing authorization","Bot has missing authorization","Title of the reply embed for `/admin remove_timeout` when the bot lacks the required permission in this server.","commands,embed_title,warning","256"
"commands.admin.remove_timeout.noReasonProvided","No reason given","No reason given","User-visible message for `/admin remove_timeout` (no Reason Provided). English: ""No reason given"".","commands",""
"commands.admin.remove_timeout.notTimedOut.description","${user} has no active timeout.","${user} has no active timeout.","Description body of the reply embed for `/admin remove_timeout` when the member is not timed out.","commands,embed_description","4096"
"commands.admin.remove_timeout.notTimedOut.title","No active timeout","No active timeout","Title of the reply embed for `/admin remove_timeout` when the member is not timed out.","commands,embed_title","256"
"commands.admin.remove_timeout.success.description","The timeout for ${user} has been successfully canceled. Reason: ${reason}","The timeout for ${user} has been successfully canceled. Reason: ${reason}","Description body of the reply embed for `/admin remove_timeout` when the command completed successfully.","commands,embed_description,success","4096"
"commands.admin.remove_timeout.success.title","Timeout canceled","Timeout canceled","Title of the reply embed for `/admin remove_timeout` when the command completed successfully.","commands,embed_title,success","256"
"commands.admin.remove_timeout.targetTooHigh.description","You cannot cancel a timeout for a member who has a higher or the same role as you.","You cannot cancel a timeout for a member who has a higher or the same role as you.","Description body of the reply embed for `/admin remove_timeout` when the target member's highest role is above the executor's role.","commands,embed_description","4096"
"commands.admin.remove_timeout.targetTooHigh.title","Target has too high a role","Target has too high a role","Title of the reply embed for `/admin remove_timeout` when the target member's highest role is above the executor's role.","commands,embed_title","256"
"commands.admin.removejointocreatechannel.alreadySet.description","You have already set a Join To Create channel. Please delete it before creating a new one.","You have already set a Join To Create channel. Please delete it before creating a new one.","Description body of the reply embed for `/admin removejointocreatechannel` when this setting is already configured. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_description","4096"
"commands.admin.removejointocreatechannel.alreadySet.title","Channel already set","Channel already set","Title of the reply embed for `/admin removejointocreatechannel` when this setting is already configured. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_title","256"
"commands.admin.removejointocreatechannel.missingPermission.description","You do not have the required permissions to remove a channel as a join-to-create channel. You need 'Manage channel' permissions.","You do not have the required permissions to remove a channel as a join-to-create channel. You need 'Manage channel' permissions.","Description body of the reply embed for `/admin removejointocreatechannel` when the user who ran the command lacks the required permission. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_description,warning","4096"
"commands.admin.removejointocreatechannel.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin removejointocreatechannel` when the user who ran the command lacks the required permission. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_title,warning","256"
"commands.admin.removejointocreatechannel.notSet.description","The channel is not a join-to-create channel.","The channel is not a join-to-create channel.","Description body of the reply embed for `/admin removejointocreatechannel` when a required setting has not been configured yet.","commands,embed_description","4096"
"commands.admin.removejointocreatechannel.notSet.title","Channel not specified","Channel not specified","Title of the reply embed for `/admin removejointocreatechannel` when a required setting has not been configured yet.","commands,embed_title","256"
"commands.admin.removejointocreatechannel.success.description","The channel has been successfully removed. Channels are no longer created when a member joins the server.","The channel has been successfully removed. Channels are no longer created when a member joins the server.","Description body of the reply embed for `/admin removejointocreatechannel` when the command completed successfully. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_description,success","4096"
"commands.admin.removejointocreatechannel.success.title","Channel successfully removed","Channel successfully removed","Title of the reply embed for `/admin removejointocreatechannel` when the command completed successfully. Used in `commands/admin/join_to_create/removejointocreatechannel.py`.","commands,embed_title,success","256"
"commands.admin.removerole.cancel","Cancel","Cancel","User-visible message for `/admin removerole` (cancel). English: ""Cancel"".","commands",""
"commands.admin.removerole.cancel.label","Cancel","Cancel","Button or component label on `/admin removerole` (cancel). Used in `commands/admin/removerole.py`.","commands,ui_label","100"
"commands.admin.removerole.cancelled","Operation cancelled.","Operation cancelled.","User-visible message for `/admin removerole` (cancelled). English: ""Operation cancelled."". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.confirm","Confirm","Confirm","User-visible message for `/admin removerole` (confirm). English: ""Confirm"".","commands",""
"commands.admin.removerole.confirm.label","Confirm","Confirm","Label of the reply embed for `/admin removerole` when the bot asks the user to confirm an action. Used in `commands/admin/removerole.py`.","commands,ui_label","100"
"commands.admin.removerole.doesNotHaveRole.description","This user does not have this role.","This user does not have this role.","Description body of the reply embed for `/admin removerole` when the member does not have that role. Used in `commands/admin/removerole.py`.","commands,embed_description","4096"
"commands.admin.removerole.doesNotHaveRole.title","User does not have the role","User does not have the role","Title of the reply embed for `/admin removerole` when the member does not have that role. Used in `commands/admin/removerole.py`.","commands,embed_title","256"
"commands.admin.removerole.error","An error has occurred. Please try again.","An error has occurred. Please try again.","User-visible message for `/admin removerole` (error). English: ""An error has occurred. Please try again."".","commands",""
"commands.admin.removerole.managedRole.description","This role is managed by an integration and cannot be unassigned manually.","This role is managed by an integration and cannot be unassigned manually.","Description body of the reply embed for `/admin removerole` when the role is managed by an integration and cannot be edited.","commands,embed_description","4096"
"commands.admin.removerole.managedRole.title","Role not unassigned","Role not unassigned","Title of the reply embed for `/admin removerole` when the role is managed by an integration and cannot be edited.","commands,embed_title","256"
"commands.admin.removerole.missingPermission.description","You need the `Manage Roles` permission to unassign roles.","You need the `Manage Roles` permission to unassign roles.","Description body of the reply embed for `/admin removerole` when the user who ran the command lacks the required permission.","commands,embed_description,warning","4096"
"commands.admin.removerole.missingPermission.title","Missing permissions","Missing permissions","Title of the reply embed for `/admin removerole` when the user who ran the command lacks the required permission.","commands,embed_title,warning","256"
"commands.admin.removerole.missingPermissionBot.description","I need the `Manage Roles` permission to unassign roles.","I need the `Manage Roles` permission to unassign roles.","Description body of the reply embed for `/admin removerole` when the bot lacks the required permission in this server.","commands,embed_description,warning","4096"
"commands.admin.removerole.missingPermissionBot.title","Missing permissions","Missing permissions","Title of the reply embed for `/admin removerole` when the bot lacks the required permission in this server.","commands,embed_title,warning","256"
"commands.admin.removerole.multiplePrompt","Please select the owners of roles and the users from whom you want to unassign roles.","Please select the owners of roles and the users from whom you want to unassign roles.","User-visible message for `/admin removerole` (multiple Prompt). English: ""Please select the owners of roles and the users from whom you want to unassign roles."". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.multipleSuccess","${count} roles have been successfully unassigned.","${count} roles have been successfully unassigned.","User-visible message for `/admin removerole` (multiple Success). English: ""${count} roles have been successfully unassigned."". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.noRole.description","You must specify a role that you want to unassign.","You must specify a role that you want to unassign.","Description body of the reply embed for `/admin removerole` when no role was selected or found.","commands,embed_description","4096"
"commands.admin.removerole.noRole.title","No role specified","No role specified","Title of the reply embed for `/admin removerole` when no role was selected or found.","commands,embed_title","256"
"commands.admin.removerole.noSelection","You must select at least one role and one user.","You must select at least one role and one user.","User-visible message for `/admin removerole` (no Selection). English: ""You must select at least one role and one user."". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.noUser.description","You must specify the user from whom you want to take the role.","You must specify the user from whom you want to take the role.","Description body of the reply embed for `/admin removerole` when no user was selected or found.","commands,embed_description","4096"
"commands.admin.removerole.noUser.title","No user specified","No user specified","Title of the reply embed for `/admin removerole` when no user was selected or found.","commands,embed_title","256"
"commands.admin.removerole.roleTooHigh.description","The role you want to unassign is higher than your highest role. You cannot unassign this role.","The role you want to unassign is higher than your highest role. You cannot unassign this role.","Description body of the reply embed for `/admin removerole` when the target role is higher than the executor may manage. Used in `commands/admin/removerole.py`.","commands,embed_description","4096"
"commands.admin.removerole.roleTooHigh.title","Role too high","Role too high","Title of the reply embed for `/admin removerole` when the target role is higher than the executor may manage. Used in `commands/admin/removerole.py`.","commands,embed_title","256"
"commands.admin.removerole.roleTooHighBot.description","The role you want to unassign is higher than my highest role. I cannot unassign this role.","The role you want to unassign is higher than my highest role. I cannot unassign this role.","Description body of the reply embed for `/admin removerole` when the target role is higher than the bot's highest role. Used in `commands/admin/removerole.py`.","commands,embed_description","4096"
"commands.admin.removerole.roleTooHighBot.title","Role too high","Role too high","Title of the reply embed for `/admin removerole` when the target role is higher than the bot's highest role. Used in `commands/admin/removerole.py`.","commands,embed_title","256"
"commands.admin.removerole.selectRoles","Select roles","Select roles","User-visible message for `/admin removerole` (select Roles). English: ""Select roles"". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.selectUsers","Select user","Select user","User-visible message for `/admin removerole` (select Users). English: ""Select user"". Used in `commands/admin/removerole.py`.","commands",""
"commands.admin.removerole.success.description","The role was successfully unassigned.","The role was successfully unassigned.","Description body of the reply embed for `/admin removerole` when the command completed successfully. Used in `commands/admin/removerole.py`.","commands,embed_description,success","4096"
"commands.admin.removerole.success.title","Role unassigned","Role unassigned","Title of the reply embed for `/admin removerole` when the command completed successfully. Used in `commands/admin/removerole.py`.","commands,embed_title,success","256"
"commands.admin.reports.remove_channel.missingPermission.description","You do not have the required permissions to remove this channel.","You do not have the required permissions to remove this channel.","Description body of the reply embed for `/admin reports` (remove channel) when the user who ran the command lacks the required permission.","commands,embed_description,warning","4096"
"commands.admin.reports.remove_channel.missingPermission.title","Missing Permission","Missing Permission","Title of the reply embed for `/admin reports` (remove channel) when the user who ran the command lacks the required permission.","commands,embed_title,warning","256"
"commands.admin.reports.remove_channel.noChannel.description","No report channel was found for this server.","No report channel was found for this server.","Description body of the reply embed for `/admin reports` (remove channel) (no Channel).","commands,embed_description","4096"
"commands.admin.reports.remove_channel.noChannel.title","No report channel set up","No report channel set up","Title of the reply embed for `/admin reports` (remove channel) (no Channel).","commands,embed_title","256"
"commands.admin.reports.remove_channel.success.description","The report channel has been successfully removed.","The report channel has been successfully removed.","Description body of the reply embed for `/admin reports` (remove channel) when the command completed successfully.","commands,embed_description,success","4096"
"commands.admin.reports.remove_channel.success.title","Report channel removed","Report channel removed","Title of the reply embed for `/admin reports` (remove channel) when the command completed successfully.","commands,embed_title,success","256"
"commands.admin.reports.set_channel.alreadySet.description","The report channel has already been set. Remove the current report channel to define a new one.","The report channel has already been set. Remove the current report channel to define a new one.","Description body of the reply embed for `/admin reports` (set channel) when this setting is already configured.","commands,embed_description","4096"
"commands.admin.reports.set_channel.alreadySet.title","Report channel already defined","Report channel already defined","Title of the reply embed for `/admin reports` (set channel) when this setting is already configured.","commands,embed_title","256"
"commands.admin.reports.set_channel.missingPermission.description","You do not have the required authorizations to set the report channel. You need `Administrator` authorizations.","You do not have the required authorizations to set the report channel. You need `Administrator` authorizations.","Description body of the reply embed for `/admin reports` (set channel) when the user who ran the command lacks the required permission.","commands,embed_description,warning","4096"
"commands.admin.reports.set_channel.missingPermission.title","Missing authorization","Missing authorization","Title of the reply embed for `/admin reports` (set channel) when the user who ran the command lacks the required permission.","commands,embed_title,warning","256"
"commands.admin.reports.set_channel.missingPermissionBot.description","The bot does not have the required authorizations to set the report channel. The bot requires the 'Send messages' authorization.","The bot does not have the required authorizations to set the report channel. The bot requires the 'Send messages' authorization.","Description body of the reply embed for `/admin reports` (set channel) when the bot lacks the required permission in this server.","commands,embed_description,warning","4096"
"commands.admin.reports.set_channel.missingPermissionBot.title","Bot has missing authorization","Bot has missing authorization","Title of the reply embed for `/admin reports` (set channel) when the bot lacks the required permission in this server.","commands,embed_title,warning","256"
"commands.admin.reports.set_channel.success.description","The report channel has been set successfully. Reports are now sent to the channel.","The report channel has been set successfully. Reports are now sent to the channel.","Description body of the reply embed for `/admin reports` (set channel) when the command completed successfully.","commands,embed_description,success","4096"
"commands.admin.reports.set_channel.success.title","Report channel successfully defined","Report channel successfully defined","Title of the reply embed for `/admin reports` (set channel) when the command completed successfully.","commands,embed_title,success","256"
"commands.admin.reports.show_reports.block.label","Block reporter","Block reporter","Button or component label on `/admin reports` (show reports block).","commands,ui_label","100"
